cluster	n_cells	CDH17	REG4	MUC13	IGFBP5	COL1A1	S100A4	TAGLN	EGR1
0	317	0.0125931103093498	0.0465452206911038	0.0277524778214236	23.9300329336162	29.6258046411221	8.68329048911344	20.2372265539024	4.65691160174366
1	252	3.06771953720326	59.2865328945595	5.96547507336779	0.14763804799392	0.0698099239967007	0.462928618782513	0.114882541474577	0.327924742686853
2	219	0.00877948480227283	0.183993440211151	0.023238510474688	8.12606119049534	11.1140921034618	9.20536479557933	3.21662563734804	4.93077106970916
3	190	0.313900576637666	10.7917293782061	0.732536780863787	5.02139148055431	24.5618875070297	5.02561430770947	5.54288944766766	4.82331799967275
4	174	0	0.0347251214002354	0	1.7905826022909	22.7527065385703	16.3345289924867	3.86180041748783	4.39146827164826
5	62	3.66466242646303	1.65193329966976	9.62174413225322	0	0	0.0663864190985231	0.0171494229219187	0.403641636980915
6	56	4.83302777265336	16.3495162637857	7.38364461974115	0	0	0.214377608211017	0	0.199280231385752
7	41	0	0.0564785085155471	0	4.09797126753006	118.004084989842	16.3084482420321	28.3515667840012	1.92314625466218
8	30	0.775382342078714	2.06711804461734	0.894638012631789	6.84416416392564	17.3413906576293	4.56565693918399	6.43197322831727	2.51416906891709
9	30	0	0.0542623039774269	0	8.08126271782973	7.44860514558681	34.2441258048917	3.96712830986456	1.17317712332865
10	22	0	0	0	0.679955067947116	29.3905806260861	24.1214208314768	1.81962810239987	1.42552931952493
11	15	0	0.189825360668185	0	17.3761511495343	5.97944303078982	12.062616921152	7.45698298186216	16.3479760306425
