cluster	n_cells	adjacent_fraction	cancer_fraction	tumor_score	IM_score	PMC_score	GMC_score	fibroblast_score	EC_score	enteroendocrine_score	predicted_lineage	EPCAM	CDH17	COL3A1	PDGFRB	TFF3	CDX1	CDX2	GKN1	GKN2	MUC5AC	MUC6	TFF2	MMP2	PDGFRA	PLVAP	KDR	PTPRB	CHGA	GAST	PROX1	is_tumor_compartment
13	400	0.41	0.59	6.72333040248217	5.96485168613421	0.867344915190647	3.92462117944882	0.0173799650449301	0.0276600593902224	1.26972125947866	tumor	23.5069237216042	3.38304813437916	0.00334975394534656	0	15.7272028603373	1.3191144109917	0.848237787073603	0.0754037445488205	0.276638052653538	2.24999294836958	0.308159485854445	7.5410828730432	0.00659386769489613	0	0.0229508196721311	0	0.0600293584985361	0.0107869801093197	3.78358355610322	0.0147932422234324	TRUE
7	628	0.00796178343949045	0.99203821656051	7.25915023723694	0.0321289334054102	0.120872184546206	0.311244461352684	13.6437149122316	0.0278230353723153	0.419567298141854	fibroblast	0.070464903719517	0.00627853702470524	25.1577559584657	3.80210154973787	0.0812148503645124	0.0151719498517182	0	0.113747127850975	0.0649190011111615	0.183950424676482	0.264001643981182	0.358487278724187	0.183242766243926	0.00377524828962518	0.0747588062738943	0.00249546573875269	0.00621483410429882	0.0434746642005023	1.20999781581488	0.00522941441017435	FALSE
8	552	0.0742753623188406	0.925724637681159	3.11850239333379	2.25619925744733	3.11335688135358	4.61199799490412	0.153832824985781	0.0143873827978001	0.0734491488058995	GMC	11.5279475077268	0.895994674462919	0.0421645992724291	0.00790279187297845	6.3790201244906	0.281580525443093	0.107997122408282	2.46037558495528	1.98613708851547	4.89355797058999	0.289191358737691	8.93480463107054	0.0157628363746364	0.0043244179975751	0.0262521306344401	0	0.0169100177589603	0.109762898363168	0.0993839023132725	0.0112006457412583	FALSE
19	103	0.0776699029126214	0.922330097087379	0.644307117091293	0.643823295199683	0.0964457716203197	3.49310964039059	0.355707805864005	0.00954874006419897	0.0393438030004431	GMC	2.32461801145933	0.252610456905839	0	0	1.77634840837658	0.0754636540568012	0.0796578231656682	0.0624073792484434	0.0251123959192746	0.201817539693241	0.092347886055315	6.89387139472587	0	0	0	0	0.0286462201925969	0	0.019683922496582	0.0983474865047472	FALSE
11	414	0.0893719806763285	0.910628019323672	1.63125350211417	16.5057333346644	0.774283038649569	138.336474431925	0.112334515273041	0.016450697082592	0.478188955659389	GMC	6.45924091975916	0.0122900146937577	0.0385758721001411	0.0149072019036243	49.4570270572091	0.0108462599165509	0.0493266868676599	0.0871561776890113	0.239031639129562	1.99666129913013	69.8100843831529	206.862864480697	0.0238887709865381	0.0184741228847293	0.00800801111655713	0	0.0413440801312189	0	1.43147329764262	0.0030935693355508	FALSE
4	965	0.156476683937824	0.843523316062176	2.91500203954131	10.4603904694201	1.57417017505873	4.6054045235645	0.048425298848994	0.00920431867043274	0.0447093491559741	IM	10.8570809923622	0.694387894494004	0.107282815937175	0.00125645537188119	30.0117924737312	1.03484806413007	0.334530870399174	0.058061920048234	0.0712961934914266	4.59315241163653	1.26470982280969	7.94609922431931	0.0163244379280502	0.010553088227533	0.00230553633323383	0.00254736831379502	0.0227600513642694	0.0394103593404678	0.0670712117081182	0.0276464764193362	FALSE
14	282	0.290780141843972	0.709219858156028	0.0671627339861833	0.239197105797528	0.0907782934470487	0.301579359907757	1.46627878106791	5.15524111278473	0.0633543208917748	EC	0.135770146445634	0.0186563161424708	0.095317744372921	0.0189067289837076	0.694561075508442	0.0230302418841417	0	0.12562652222746	0.0408909159058462	0.105817442207839	0.230401196341777	0.372757523473736	0.696330913722806	0.0271952755453849	12.8142993227744	0.878326145962606	1.7730978696172	0.0358027386232712	0.123786378044604	0.0304738460074492	FALSE
10	465	0.501075268817204	0.498924731182796	3.25651046520995	7.48673811463465	0.345176407533456	1.31764157689216	0.0425587086816597	0.0396878498358176	10.1620355071775	enteroendocrine	11.4486547538785	1.55088367969239	0.0159744792424171	0.0105289480264803	21.4352373103644	0.527436833598389	0.497540199941146	0.229489664141315	0.0688853065643944	0.737154251894658	0.474331500867222	2.1609516529171	0.0720145604774302	0.00807107387655696	0.0429809956813671	0.00821129299125087	0.0678712608348348	20.3332854891054	8.82678727385017	1.32603375857686	FALSE
6	776	0.551546391752577	0.448453608247423	0.220887717796299	0.306667476688629	0.300479257105934	0.518544508159854	3.51338812896496	13.9244380671265	0.0673835454367715	EC	0.187868695136865	0.00603002427382075	0.443940433438598	0.245711718335912	0.918369768474838	0.00163266159104831	0	0.40411801845448	0.206862277242856	0.290457475620466	0.212614367652832	0.824474648666877	0.852241723892294	0.0314881621764385	34.8251870771204	3.73431518397292	3.21381194028614	0.0372992186075624	0.160126087947286	0.00472532975546667	FALSE
3	1008	0.551587301587302	0.448412698412698	11.1133290352808	0.0615435459518996	0.257462200786249	0.256573802010488	5.77815782731795	0.0428203463465629	0.0576620452952205	tumor	0.143526348130984	0.00647023640489581	43.4476163676323	0.85570318895505	0.140465599477913	0.0367911819481461	0.00737385642963954	0.23427605583003	0.164305465847663	0.373805080681054	0.147874766365288	0.365272837655689	9.01435983905787	5.9883923902451	0.0995899843039007	0.0161746971526004	0.0126963575831876	0.0793075753048144	0.0861023063452148	0.00757625423563227	FALSE
