gene	n_cells	n_positive_cells	pct_positive_cells	total_raw_transcripts	mean_raw_counts_per_cell	mean_raw_counts_positive_cells	max_raw_count	mean_log_normalized_expression	spearman_vs_intestinal_rho	spearman_vs_intestinal_p	spearman_vs_diffuse_rho	spearman_vs_diffuse_p
KCNQ1	1614	108	6.69144981412639	131	0.0811648079306072	1.21296296296296	4	0.0403538243282376	0.207823665006559	3.31129156166868e-17	-0.237688395233293	3.64201889160722e-22
KCNE2	1614	55	3.40768277571252	77	0.0477075588599752	1.4	7	0.0383127474282019	-0.0497262542625285	0.0457794379551962	-0.0132290031187628	0.595362206526892
KCNE3	1614	341	21.1276332094176	695	0.430607187112763	2.03812316715543	11	0.182466768620085	0.198318476225688	8.8968236483175e-16	-0.335347052130209	1.02565602653e-43
